gene_ID	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT4G20510	0	0	0.134598	1.49366	0	0	0	0	0	0	0	0
AT4G20520	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20530	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20540	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20550	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20560	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20570	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20580	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20590	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20600	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20610	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20620	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20630	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20640	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20650	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20670	0.0226449	0	2.95678	0	0	0	0	0	0	0	0	0
AT4G20680	0.71633	0	13.1179	0	0	0	0	0	0	0	0	0
AT4G20690	0.0915076	5.171555	0	0	3.30086	6.37102	8.32482	4.20747	4.562565	1.12514	1.62159	0
AT4G20700	0.317508	0.80318	1.91949	4.11888	0	4.74552	2.96038	1.351045	0.2750585	0	0	0
AT4G20710	0.049342	0	2.79793	0	0	0	0	0	0	0	0	0
AT4G20715	0	0	0	0	0	0	0	0.03606745	0	0	0	0
AT4G20720	0.808502	2.490505	1.05932	0.545873	0.130842	0.490971	0.684196	0.7714785	0.6146995	0.858014	0.908954	1.593045
AT4G20725	0	0.0291341	0.246933	48.4339	0	0	0.0129373	0	0	0	0	0
AT4G20730	0.261837	1.2363505	0.0383725	0	13.5466	15.9131	7.55471	3.316625	1.222565	1.32624	0.155516	0.136834
AT4G20740	2.40865	25.66305	0.48966	0	0	1.59232	2.10734	1.75712	1.1899	1.53266	0.565403	1.379145
AT4G20760	13.6487	16.82705	4.37892	0	0.436577	18.0618	16.1493	13.7838	14.8702	10.8814	7.27028	8.7317
AT4G20770	0.6931	15.62455	0.111913	0.561678	0	0.0843517	0.228197	0.36774	0.168033	0.110497	0.191555	0.378778
AT4G20780	4.00398	0.135919	99.7558	0	0	1.91528	1.40863	1.29284	1.997205	0.62673	0.621193	19.46565
AT4G20790	0.434758	0.0715705	4.67953	0	16.9165	0	0	0	0	0	0	0
AT4G20800	0.0287503	0.115496	0.176376	0	0	0.951527	5.96417	0.4672955	0	0.0594947	0	0
AT4G20810	0.687337	0.7368575	0.536184	0	0	0	0	0	0	0	0.0904644	0
AT4G20820	0.464982	3.95749	0	0	0	0	0	0	0	0	0.264124	3.692515
AT4G20830	5.6395	0.808423	1.81163	15.7739	833.49	12.3031	8.74164	8.98655	7.425265	9.54077	24.237	90.8967
AT4G20840	2.23441	0.542545	0	0	0.173665	0.228521	0.544927	0.384809	0.126022	0.239101	1.18326	3.597765
AT4G20850	31.5882	390.0785	7.96055	2.67859	0.181842	19.6322	18.7147	23.0185	23.44325	53.4037	72.605	13.85015
AT4G20860	0.0209342	0.547501	0.333823	353.326	1.14064	0.0552522	0.0773266	0.0648824	0.05185805	0	0	56.1959
AT4G20870	27.1085	15.79205	25.4567	322.5	681.952	50.371	62.5364	61.13075	54.34335	42.5269	28.2487	5.469825
AT4G20880	3.52851	2.368	5.86585	158.467	236.899	12.1868	12.7003	13.92695	7.66734	13.6865	33.4784	8.559295
AT4G20890	54.9238	302.295	22.8751	1492.28	785.406	127.406	114.252	72.02075	52.93485	61.9474	51.4139	58.4795
AT4G20900	3.04506	82.4088	0.219863	301.362	0	0.424585	0.437123	0.4516805	0.1024535	0	0.302044	0
AT4G20910	8.18332	2.155425	1.19787	8.24607	0.522477	15.7851	16.547	13.7066	7.623025	8.70616	6.48715	1.511955
AT4G20920	1.67524	0.80962	0.148764	0	0.857107	1.44291	1.68714	2.49351	1.13235	0.594766	0.566335	0
AT4G20930	10.4631	1.2844	0.812929	0	0	15.38	18.3084	20.95905	17.90165	12.7299	16.594	3.279965
AT4G20940	13.3333	2.129025	0.0625291	0.162736	0	23.5179	37.6211	46.52235	29.23725	23.9831	6.04632	2.39975
AT4G20960	15.8237	38.08975	3.23126	0.180769	0.345448	12.9526	21.2492	26.9893	37.8678	30.2439	12.1022	6.383395
AT4G20970	2.44043	1.32468	0	0	0	0	0	0	0	0	0.446154	0
AT4G20980	45.1271	116.95	20.2773	0	0	116.475	119.13	85.36715	68.4407	61.3603	28.8501	13.48995
AT4G20990	0.100291	0	0.141719	0	0	0	0.0496673	0.04230495	0.03802535	0	0.130155	0
AT4G21000	0	0	0	0	0	0	0	0	0	0	0	0
AT4G21010	2.21104	3.67059	5.64502	0	2.13246	0	0	0.03567165	0	0	0	0
AT4G21020	3.98E-02	1.11E+00	8.32E-02	0.00E+00	0.00E+00	4.40E-07	3.94E-02	2.55E-01	3.87E-01	7.04E+00	1.19E+03	0.00E+00
AT4G21030	0	0	0	0	0	0	0	0	0	0	0	0
AT4G21040	0	0	0	0	0	0	0	0.06808625	0.2832305	0	0	0
AT4G21050	0	0.945035	0	0	0	0	0	0	0.1539955	0	0.22491	0
